ORDERNUMBER,ORDERLINENUMBER,ORDERDATE,STATUS,QUANTITYORDERED,PRICEEACH,ClientsID,PRODUCTCODE
10100,1,2018-01-06,Shipped,49,34.47,CUS1002,S24_3969
10100,2,2018-01-06,Shipped,50,67.8,CUS1002,S18_2248
10100,3,2018-01-06,Shipped,30,171.7,CUS1002,S18_1749
10100,4,2018-01-06,Shipped,22,86.51,CUS1002,S18_4409
10101,1,2018-01-09,Shipped,26,145.13,CUS1003,S18_2795
10101,2,2018-01-09,Shipped,46,53.76,CUS1003,S24_2022
10101,3,2018-01-09,Shipped,45,31.2,CUS1003,S24_1937
10101,4,2018-01-09,Shipped,25,151.28,CUS1003,S18_2325
10102,1,2018-01-10,Shipped,41,50.14,CUS1004,S18_1367
10102,2,2018-01-10,Shipped,39,123.29,CUS1004,S18_1342
10103,1,2018-01-29,Shipped,36,102.23,CUS1005,S24_2300
10103,2,2018-01-29,Shipped,22,54.09,CUS1005,S18_2432
10103,3,2018-01-29,Shipped,31,104.01,CUS1005,S32_1268
10103,4,2018-01-29,Shipped,42,128.53,CUS1005,S10_4962
10103,5,2018-01-29,Shipped,36,117.45,CUS1005,S18_4600
10103,6,2018-01-29,Shipped,42,106.21,CUS1005,S700_2824
10103,7,2018-01-29,Shipped,45,75.63,CUS1005,S32_3522
10103,8,2018-01-29,Shipped,27,125.74,CUS1005,S12_1666
10103,9,2018-01-29,Shipped,41,47.29,CUS1005,S18_4668
10103,10,2018-01-29,Shipped,35,112,CUS1005,S18_1097
10103,11,2018-01-29,Shipped,26,207.87,CUS1005,S10_1949
10103,12,2018-01-29,Shipped,27,83.07,CUS1005,S18_2949
10103,13,2018-01-29,Shipped,25,101.58,CUS1005,S18_3136
10103,14,2018-01-29,Shipped,35,57.46,CUS1005,S18_2957
10103,15,2018-01-29,Shipped,25,114.92,CUS1005,S24_4258
10103,16,2018-01-29,Shipped,46,104.17,CUS1005,S18_3320
10104,1,2018-01-31,Shipped,34,175.25,CUS1006,S12_3148
10104,2,2018-01-31,Shipped,32,53.31,CUS1006,S50_1514
10104,3,2018-01-31,Shipped,38,140.75,CUS1006,S18_4027
10104,4,2018-01-31,Shipped,49,65.87,CUS1006,S32_3207
10104,5,2018-01-31,Shipped,26,112.37,CUS1006,S24_4048
10104,6,2018-01-31,Shipped,35,55.49,CUS1006,S24_1444
10104,7,2018-01-31,Shipped,33,112.28,CUS1006,S50_1392
10104,8,2018-01-31,Shipped,24,144.08,CUS1006,S18_2238
10104,9,2018-01-31,Shipped,41,112.58,CUS1006,S12_4473
10104,10,2018-01-31,Shipped,44,39.6,CUS1006,S24_2840
10104,11,2018-01-31,Shipped,35,47.62,CUS1006,S32_2509
10104,12,2018-01-31,Shipped,29,130.09,CUS1006,S18_2319
10104,13,2018-01-31,Shipped,23,198.13,CUS1006,S18_3232
10105,1,2018-02-11,Shipped,50,79.67,CUS1007,S24_3816
10105,2,2018-02-11,Shipped,50,144.16,CUS1007,S10_4757
10105,3,2018-02-11,Shipped,31,65.77,CUS1007,S700_2610
10105,4,2018-02-11,Shipped,44,72.58,CUS1007,S24_3151
10105,5,2018-02-11,Shipped,41,70.67,CUS1007,S700_1138
10105,6,2018-02-11,Shipped,39,81.14,CUS1007,S700_3505
10105,7,2018-02-11,Shipped,22,116.19,CUS1007,S700_3962
10105,8,2018-02-11,Shipped,25,56.78,CUS1007,S72_3212
10105,9,2018-02-11,Shipped,43,147.47,CUS1007,S24_2011
10105,10,2018-02-11,Shipped,41,82.5,CUS1007,S18_4522
10105,11,2018-02-11,Shipped,22,139.32,CUS1007,S18_3140
10105,12,2018-02-11,Shipped,29,70.15,CUS1007,S700_1938
10105,13,2018-02-11,Shipped,38,113.95,CUS1007,S18_3259
10105,14,2018-02-11,Shipped,29,157.45,CUS1007,S12_3891
10105,15,2018-02-11,Shipped,41,211.96,CUS1007,S12_1108
10106,1,2018-02-17,Shipped,32,124.58,CUS1008,S700_2834
10106,2,2018-02-17,Shipped,34,90.39,CUS1008,S18_2581
10106,3,2018-02-17,Shipped,26,63.76,CUS1008,S24_4278
10106,4,2018-02-17,Shipped,28,88.63,CUS1008,S24_1785
10106,5,2018-02-17,Shipped,33,72.92,CUS1008,S32_4289
10106,6,2018-02-17,Shipped,39,40.15,CUS1008,S50_1341
10106,7,2018-02-17,Shipped,31,106.87,CUS1008,S700_1691
10106,8,2018-02-17,Shipped,44,74.4,CUS1008,S700_3167
10106,9,2018-02-17,Shipped,34,110.69,CUS1008,S700_2466
10106,10,2018-02-17,Shipped,48,61.44,CUS1008,S700_4002
10106,11,2018-02-17,Shipped,50,64.83,CUS1008,S24_3949
10106,12,2018-02-17,Shipped,36,146.65,CUS1008,S18_1662
10106,13,2018-02-17,Shipped,49,74.68,CUS1008,S24_2841
10106,14,2018-02-17,Shipped,31,52.6,CUS1008,S24_3420
10106,15,2018-02-17,Shipped,48,52.64,CUS1008,S72_1253
10106,16,2018-02-17,Shipped,30,105.91,CUS1008,S700_2047
10106,17,2018-02-17,Shipped,41,116.46,CUS1008,S18_3856
10106,18,2018-02-17,Shipped,41,83.44,CUS1008,S18_3029
10107,1,2018-02-24,Shipped,21,144.6,CUS1009,S12_2823
10107,2,2018-02-24,Shipped,30,95.7,CUS1009,S10_1678
10107,3,2018-02-24,Shipped,25,113.83,CUS1009,S24_1578
10107,4,2018-02-24,Shipped,27,224.65,CUS1009,S10_4698
10107,5,2018-02-24,Shipped,39,99.91,CUS1009,S10_2016
10107,6,2018-02-24,Shipped,29,70.87,CUS1009,S18_2625
10107,7,2018-02-24,Shipped,38,83.03,CUS1009,S24_2000
10107,8,2018-02-24,Shipped,20,92.9,CUS1009,S32_1374
10108,1,2018-03-03,Shipped,40,136.22,CUS10010,S24_3856
10108,2,2018-03-03,Shipped,38,82.39,CUS10010,S18_1889
10108,3,2018-03-03,Shipped,36,103.64,CUS10010,S12_4675
10108,4,2018-03-03,Shipped,45,136.23,CUS10010,S12_3380
10108,5,2018-03-03,Shipped,30,63.07,CUS10010,S24_3371
10108,6,2018-03-03,Shipped,33,159.55,CUS10010,S12_1099
10108,7,2018-03-03,Shipped,39,89.38,CUS10010,S12_3990
10108,8,2018-03-03,Shipped,29,139.64,CUS10010,S18_3482
10108,9,2018-03-03,Shipped,26,68.35,CUS10010,S18_3278
10108,10,2018-03-03,Shipped,31,68.71,CUS10010,S24_4620
10108,11,2018-03-03,Shipped,44,126.48,CUS10010,S18_4721
10108,12,2018-03-03,Shipped,43,67.77,CUS10010,S18_3782
10108,13,2018-03-03,Shipped,27,43.45,CUS10010,S32_2206
10108,14,2018-03-03,Shipped,34,82.99,CUS10010,S50_4713
10108,15,2018-03-03,Shipped,35,58.87,CUS10010,S24_2360
10108,16,2018-03-03,Shipped,31,118.38,CUS10010,S32_4485
10109,1,2018-03-10,Shipped,26,121.44,CUS10011,S18_2870
10109,2,2018-03-10,Shipped,47,132.8,CUS10011,S18_3685
10109,3,2018-03-10,Shipped,38,116.65,CUS10011,S18_1984
10109,4,2018-03-10,Shipped,26,168.43,CUS10011,S18_1129
10109,5,2018-03-10,Shipped,46,179.5,CUS10011,S18_3232
10109,6,2018-03-10,Shipped,29,32.1,CUS10011,S24_2972
10110,1,2018-03-18,Shipped,31,163.69,CUS10012,S18_2795
10110,2,2018-03-18,Shipped,39,44.35,CUS10012,S24_2022
10110,3,2018-03-18,Shipped,20,35.51,CUS10012,S24_1937
10110,4,2018-03-18,Shipped,33,116.96,CUS10012,S18_2325
